Timestamp,Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,"""ZUx - Cycle time",SKx - Closing force,"""SKs - Clamping force peak value",Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality,Rand
12/7/2021 8:27,105.943,81.295,6.292,3.34,75.74,891.1,910.7,119.9,106.6,146.5,887.7,8.76,18.81,3,0.248942125
12/7/2021 8:28,106.053,81.32,6.968,3.21,74.8,908.8,927.6,123.2,105.3,146.2,916.6,8.84,18.73,2,0.312500658
12/7/2021 8:29,105.905,81.25,6.188,3.32,75.74,891.5,911,117.5,105.9,147,885.5,8.71,18.85,3,0.23805822
12/7/2021 8:30,106.241,81.379,6.968,3.21,74.8,913.8,929.9,112.4,104.3,145.9,920.9,8.83,18.73,2,0.107473359
12/7/2021 8:31,106.323,81.471,6.968,3.190281859,74.81,920.2746318,902.6278485,116.9,106.5040028,145.6,926.5,8.76,18.76,1,0.5721912
12/7/2021 8:32,105.863,80.766,6.864,3.4,74.82,916.2,935.6,118.1,104.7,147.1,896.6,8.78,18.78,2,0.465484551
12/7/2021 8:33,153.953,81.971,11.128,2.94,75.63,902,916.7,113.3,103,147.6,886.5,8.83,18.74,4,0.350631686
12/7/2021 8:34,106.06,82.067,11.128,2.98,75.65,900.9,915.1,119.9,102.5,145.6,880,8.8,18.77,4,0.600936768
12/7/2021 8:35,105.863,80.931,6.968,3.22,74.82,902.2,919.5,121.4,107,147.3,916,8.81,18.75,2,0.60479341
12/7/2021 8:36,106.055,81.974,10.868,2.93,75.62,901.1,917.9,115.4,104.3,145.6,887.4,8.87,18.7,4,0.140484168
12/7/2021 8:37,106.323,80.617,6.864,3.198243094,74.83,919.9743942,918.2,127.3,106.2,146.7,937.7,8.8,18.72,1,0.138079209
12/7/2021 8:41,106.189,81.146,6.968,3.17,74.82,913.1,925.4,120.2,106.5,145.5,920.9,8.85,18.71,2,0.677021444
12/7/2021 8:42,106.205,81.295,6.968,3.24,74.81,908.6,926.3,116.6,103,146.1,908.6,8.79,18.77,2,0.527377474
12/7/2021 8:43,106.084,81.445,6.084,2.86,75.64,905.7,921.5,115.7,106.4,146.1,911.8,9.04,18.53,4,0.048532999
12/7/2021 8:44,105.902,81.162,6.864,3.22,74.82,903.1,896.8,127.3,106.3912226,146,874.6,8.81,18.72,1,0.123406573
12/7/2021 8:45,105.944,81.058,6.864,3.19,74.82,901.6,918.2,120.5,107.8,146.1,922.3,8.84,18.73,1,0.465424419
12/7/2021 8:46,106.287,81.349,6.968,3.27,74.81,921.2,937.6,112.7,101.8,145.7,907.6,8.8,18.77,2,0.648019292
12/7/2021 8:47,106.237,81.027,6.968,3.22,74.81,880.2913458,926.3,107.3,107.8,146.7,930.5,8.59,18.8,1,0.813877454
12/7/2021 8:48,106.196,81.337,7.124,3.21,74.8,912.9,927.3,117.2,106.5,145.4,910.6,8.81,18.76,2,0.60271272
12/7/2021 8:49,106.273,81.337,6.968,3.23,74.81,916.4,934.1,111.8,103.2,146.1,921,8.82,18.75,2,0.387537367
12/7/2021 8:50,106.11,81.473,6.188,2.84,75.61,904.9,921.2,122.6,109.9,145.4,924.8,8.98,18.59,4,0.004201138
12/7/2021 8:51,105.946,81.144,6.188,3.27,75.77,890.9,912.5,117.2,108.6,146.1,902.5,8.82,18.75,3,0.019993533
12/7/2021 8:52,106.247,81.317,6.864,3.25,74.79,913.6,930,121.1,103.8,145.5,905.9,8.82,18.75,2,0.050387925
12/7/2021 8:53,106.218,81.324,6.968,3.2,74.81,916.7,933.4,117.2,106,146.3,912.6,8.79,18.78,2,0.554912012
12/7/2021 9:22,106.215,81.12,7.852,3.09,74.81,919.5,935.6,125.2,110.8,146.9,920.2,8.87,18.7,2,0.864493957
12/7/2021 9:23,105.952,80.942,6.864,3.14,74.81,921,938.7,122.9,110.7,149.2,922.4,8.83,18.73,2,0.611701768
12/7/2021 9:24,105.505,80.617,7.124,3.183493349,74.82,880.0033838,902.3201639,118.4,93.1,147.6,937.7,8.68,18.77,1,0.278227678
12/7/2021 9:25,105.936,81.059,6.968,3.17,74.81,905.7,920.3,120.2,106.3,146,918,8.84,18.73,2,0.615991471
